PWSID,Water System Name,Total Number of Water Sources ,Absence of Interties,Source Capacity Violations Count,Service Connection Moratoriums Count,Division of Financial Assistance - Interim Solution Data Spreadsheet,Division of Drinking Water - Drought Report,"SDWIS -
Hauled Water Data",Risk Score,"Percent Rank
(rank of a score as a percentage)",Percentage of sources within a COD Basin
CA3410045,CALAM - ARDEN,5,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3410047,CALAM - WALNUT GROVE,2,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3410704,SCWA MATHER-SUNRISE,9,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3500006,CSA NO. 31 STONEGATE WS,2,Y,0,0,N,N,N,30.02,5.70%,0.00%
CA3500505,THOUSAND TRAILS SAN BENITO PRESERVE,3,Y,0,0,N,N,N,54.47,50.00%,0.00%
CA3500509,TRES PINOS CWD,1,Y,0,0,N,N,N,58.62,61.90%,0.00%
CA3500510,MCMAHON ROAD MUTUAL WATER COMPANY,1,Y,0,0,N,N,N,50.10,37.20%,0.00%
CA3500511,CASA DE FRUTA ORCHARDS,1,Y,0,0,N,N,N,72.71,92.00%,0.00%
CA3500524,RIVER OAKS R.V.P.,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3500527,VALENZUELA WATER SYSTEM,1,Y,0,0,Y,N,N,64.85,77.20%,0.00%
CA3500549,ROSA MORADA MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,39.35,13.90%,0.00%
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3500552,VENTURE ESTATES MWC,1,Y,0,0,N,N,N,53.46,47.20%,0.00%
CA3500556,MISSION FARM R.V. PARK,2,N,0,0,N,N,N,32.54,6.60%,0.00%
CA3500575,SPRINGWOOD ESTATES MWC,1,Y,0,0,N,N,N,47.90,30.90%,0.00%
CA3500576,AROMAS HILLS MUTUAL WATER ASSOCIATION,1,Y,0,0,N,N,N,54.67,50.50%,100.00%
CA3500578,LOS MADRONES MWC,2,Y,0,0,N,N,N,77.09,96.20%,0.00%
CA3500579,VINEYARD ESTATES MWC,1,Y,0,0,N,N,N,48.09,31.40%,0.00%
CA3500581,RANCHO SAN JOAQUIN MWC,1,Y,0,0,N,N,N,48.93,33.60%,0.00%
CA3500810,WHISPERING PINES INN,1,Y,0,0,N,N,N,64.71,77.10%,0.00%
CA3500823,BEST ROAD MWC,2,Y,0,0,N,N,N,39.62,14.40%,0.00%
CA3500825,UNION HEIGHTS MWC,2,Y,0,0,N,N,N,42.39,19.80%,0.00%
CA3500830,FALLON ROAD LABOR HOUSING,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3500836,BETABEL RV RESORT,1,Y,0,0,N,N,N,71.97,90.80%,0.00%
CA3500900,ASHFORD HIGHLANDS MWC,2,Y,0,0,N,N,N,45.17,24.80%,0.00%
CA3500904,HOLLISTER RANCH ESTATES,2,Y,0,0,N,N,N,63.21,73.80%,0.00%
CA3500910,DUNNEVILLE ESTATES CSA #50,2,Y,0,0,N,N,N,49.90,36.60%,0.00%
CA3500911,CREEKBRIDGE MUTUAL WATER COMPANY,1,Y,0,0,N,N,N,48.15,31.60%,0.00%
CA3500912,COMSTOCK MUTUAL WATER COMPANY,1,Y,0,0,N,N,N,50.98,39.70%,0.00%
CA3500923,FAIRVIEW ROAD WATER SYSTEM,1,Y,0,0,N,N,N,59.52,64.50%,0.00%
CA3500930,BENITO VALLEY FARMS,2,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3510001,"HOLLISTER, CITY OF",14,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3510002,"SAN JUAN BAUTISTA, CITY OF",2,Y,0,0,N,N,N,47.97,31.10%,0.00%
CA3510003,SUNNYSLOPE COUNTY WATER DIST,9,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3510004,AROMAS WATER DISTRICT,3,Y,0,0,N,N,N,42.71,20.30%,100.00%
CA3510006,MISSION OAKS MOBILE HOME PARK,2,N,0,0,N,N,N,25.44,3.70%,0.00%
CA3600008,APPLE VALLEY FOOTHILL CWD,2,Y,0,0,N,N,N,41.97,18.80%,0.00%
CA3600009,APPLE VALLEY HEIGHTS CWD,2,Y,0,0,N,N,N,43.91,22.50%,0.00%
CA3600010,LIBERTY UTILITIES APPLE VALLEY,2,N,0,0,N,N,N,49.32,35.00%,0.00%
CA3600012,APPLE VALLEY VIEW MWC,2,Y,0,0,N,N,N,40.36,15.80%,0.00%
CA3600022,BAKER COMMUNITY SERVICES DISTRICT,6,Y,0,0,N,N,N,45.81,26.20%,0.00%
CA3600025,BAR-LEN MWC,2,Y,0,0,N,N,N,62.37,72.10%,0.00%
CA3600027,"BAR ""H"" MWC",2,Y,0,0,N,N,N,39.53,14.00%,0.00%
CA3600031,BIG PINE TRACT,2,Y,0,0,N,N,N,65.34,78.20%,0.00%
CA3600064,CAMP WATERMAN MWC,2,Y,0,0,N,N,N,67.93,84.00%,0.00%
CA3600070,CENTER WATER CO,2,Y,0,0,N,N,N,49.80,36.40%,0.00%
CA3600071,CHAMISAL MWC,1,Y,0,0,N,N,N,73.12,93.00%,0.00%
CA3600086,DAGGETT COMM SVCS DIST,2,Y,0,0,Y,N,N,56.53,55.90%,0.00%
CA3600087,DEER LODGE WATER SYSTEM,3,N,0,0,N,N,N,30.68,6.00%,33.33%
CA3600088,DESERT DAWN MWC,2,Y,0,0,N,N,N,49.08,34.10%,0.00%
CA3600089,DESERT SPRINGS MWC,2,Y,0,0,N,N,N,49.32,35.00%,0.00%
CA3600094,DOGWOOD BLUE JAY CYN IMP,5,Y,0,0,N,N,N,78.06,96.70%,0.00%
CA3600107,FOREST PARK MWC,4,Y,0,0,N,N,N,90.71,99.70%,0.00%
CA3600108,GLEN HELEN WATER SYSTEM,5,Y,0,0,N,N,N,71.53,90.30%,0.00%
CA3600114,CSA 70 W-3 HACIENDA,2,Y,0,0,N,N,N,65.38,78.40%,0.00%
CA3600123,HI DESERT MWC,2,Y,0,0,N,N,N,36.38,9.00%,0.00%
CA3600139,JUBILEE MWC,2,Y,0,0,N,N,N,42.45,19.80%,0.00%
CA3600152,LOMA LINDA UNIVERSITY,2,Y,0,0,N,N,N,48.45,32.30%,0.00%
CA3600155,RIVER RANCH MHP,2,Y,0,0,N,N,N,53.10,46.40%,0.00%
CA3600156,LUCERNE VALLEY MWC,2,Y,0,0,N,N,N,40.81,16.70%,0.00%
CA3600157,LUCERNE VISTA MWC,3,Y,0,0,N,N,N,48.86,33.40%,33.33%
CA3600158,LYTLE SPRINGS WC,2,Y,0,0,N,N,N,62.94,73.30%,0.00%
CA3600166,MILL CREEK MSC,2,Y,0,0,N,N,N,63.84,75.30%,0.00%
CA3600172,MP MINE OPERATIONS LLC,3,Y,0,0,N,N,N,43.97,22.70%,0.00%
CA3600180,NAVAJO MWC,2,Y,0,0,N,N,N,39.66,14.40%,0.00%
CA3600184,NORTH SHORE MWC,2,Y,0,0,N,N,N,73.62,93.70%,0.00%
CA3600185,OAK GLEN DOMESTIC WATER,3,Y,0,0,N,N,N,47.88,30.70%,0.00%
CA3600187,OLIVE DELL RANCH,2,Y,0,0,N,N,N,63.66,74.90%,0.00%
CA3600196,CSA 70 W-4 PIONEERTOWN,2,N,0,0,N,N,N,39.88,14.90%,0.00%
CA3600200,RANCHERITOS MWC,3,Y,0,0,N,N,N,38.24,11.60%,0.00%
CA3600209,ROCKY COMFORT MUTUAL WATER CO,1,N,0,0,N,N,N,37.62,10.90%,No Active Groundwater Wells
CA3600215,GILBERT STREET COMPLEX,1,Y,0,0,N,N,N,62.03,70.80%,0.00%
CA3600220,CSA 42 ORO GRANDE,3,Y,0,0,N,N,N,36.75,9.60%,0.00%
CA3600222,JUNIPER RIVIERA CWD,3,Y,0,0,N,N,N,42.60,20.10%,0.00%
CA3600226,CSA 70-F MORONGO,3,Y,0,0,N,N,N,61.98,70.60%,33.33%
CA3600258,SKY FOREST MWC,3,N,0,0,N,N,N,26.94,4.30%,0.00%
CA3600260,SMILEY PARK COUNTRY CLUB,2,N,0,0,N,N,N,35.34,8.40%,0.00%
CA3600262,SNOWCREST HEIGHTS IMP ASSOC,3,Y,0,0,N,N,N,61.15,68.70%,0.00%
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,3,Y,0,0,N,N,N,47.42,29.90%,0.00%
CA3600279,GOLDEN STATE WATER DESERT VIEW,2,Y,0,0,N,N,N,41.56,18.00%,0.00%
CA3600283,DEPARTMENT OF WATER AND POWER,3,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3600297,GORDON ACRES WATER CO,2,Y,0,0,N,N,N,38.85,12.80%,0.00%
CA3600301,STRAWBERRY LODGE MWC,2,N,0,0,N,N,N,53.74,48.10%,0.00%
CA3600306,THUNDERBIRD CWD,3,Y,0,0,N,N,N,37.89,11.10%,0.00%
CA3600308,FREEDOM ACRES THE RESORT,2,Y,0,0,N,N,N,71.39,90.00%,0.00%
CA3600345,WEST END MWC,2,Y,0,0,N,N,N,39.62,14.30%,0.00%
CA3600372,PALMS RIVER RESORT,2,Y,0,0,N,N,N,38.95,12.90%,0.00%
CA3600382,MWD OF SO CAL IRON MOUNTAIN,1,Y,0,0,N,N,N,48.18,31.80%,No Active Groundwater Wells
CA3600383,MWD OF SO CAL GENE PLANT,1,Y,0,0,N,N,N,62.86,73.10%,No Active Groundwater Wells
CA3600385,BROOKSIDE MHP,1,Y,0,0,N,N,N,59.94,65.80%,0.00%
CA3600386,FOOTHILL ESTATES MHP,1,Y,0,0,N,N,N,67.77,83.40%,0.00%
CA3600388,DESERT VIEW MOBILE PARK,2,Y,0,0,N,N,N,54.33,49.60%,0.00%
CA3600391,HILLCREST MOBILE ESTATES,1,Y,0,0,N,N,N,80.96,97.70%,0.00%
CA3600397,MOSS MOBILE MANOR,1,Y,0,0,N,N,N,67.45,82.50%,0.00%
CA3600399,PARADISE MOBILE ESTATES,1,Y,0,0,N,N,N,53.73,48.10%,0.00%
CA3600400,APPLE VALLEY VILLAGE MHE,1,Y,0,0,N,N,N,65.97,79.50%,0.00%
CA3600446,UPPER LITTLE BEAR MOUNTAIN CLUB,2,N,0,0,N,N,N,44.05,23.00%,0.00%
CA3600504,KNOLL ENTERPRISES,3,Y,0,0,N,N,N,58.71,62.30%,0.00%
CA3600785,LAKE JODIE WATER SYSTEM,2,Y,0,0,N,N,N,60.36,67.10%,0.00%
CA3601010,CRYSTAL LAKE PROPERTY OWNERS,2,Y,0,0,N,N,N,48.14,31.50%,0.00%
CA3601015,IRONWOOD CAMP,2,Y,0,0,N,N,N,53.06,46.10%,0.00%
CA3601036,CALICO LAKE HOMEOWNERS,2,Y,0,0,N,N,N,43.75,22.20%,0.00%
CA3601045,BEAR VALLEY MHP,2,Y,0,0,N,N,N,54.04,48.90%,0.00%
CA3601048,BARTON FLATS WATER SYSTEM,1,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3601085,RANCHO PINO VERDE,1,Y,0,0,N,N,N,58.72,62.40%,0.00%
CA3601182,HIGH DESERT DETENTION CENTER,2,N,0,0,N,N,N,29.60,5.40%,0.00%
CA3610001,"ADELANTO, CITY OF",10,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610002,ALPINE WATER USERS ASSOCIATION,6,N,0,0,N,N,N,26.03,3.90%,0.00%
CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,20,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610004,WEST VALLEY WATER DISTRICT,24,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610005,LAKE ARROWHEAD CSD,8,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610008,BIG BEAR CITY CSD,15,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610009,BIGHORN - DESERT VIEW WATER AGENCY,6,Y,0,0,N,N,N,32.41,6.60%,0.00%
CA3610011,CEDARPINES PARK MWC,15,Excluded from the Assessment,0,0,N,N,N,26.53,4.10%,0.00%
CA3610012,"CHINO, CITY OF",10,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610013,"LOMA LINDA, CITY OF",11,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610014,"COLTON, CITY OF",15,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,48,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610016,GLEN MARTIN MWC,3,Y,0,0,N,N,N,62.48,72.30%,0.00%
CA3610017,HAVASU WC,1,Y,0,0,N,N,N,47.92,31.00%,No Active Groundwater Wells
CA3610021,FALLSVALE SERVICE COMPANY,2,Y,0,0,N,N,N,62.20,71.50%,0.00%
CA3610022,DWP - FAWNSKIN,6,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610023,GREEN VALLEY MWC,26,Excluded from the Assessment,0,0,N,N,N,34.45,7.50%,0.00%
CA3610024,HESPERIA WD,17,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610025,JOSHUA BASIN WATER DISTRICT,5,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,3,N,0,0,N,N,N,48.53,32.60%,0.00%
CA3610028,MARYGOLD MWC,5,N,0,0,N,N,N,17.17,1.10%,0.00%
CA3610029,MONTE VISTA CWD,17,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610030,MARIANA RANCHOS CWD,2,Y,0,0,N,N,N,43.74,22.10%,0.00%
CA3610031,MUSCOY MWC NO. 1,5,Y,0,0,N,N,N,48.13,31.50%,0.00%
CA3610032,"NEEDLES, CITY OF",4,Y,0,0,N,N,N,38.24,11.60%,0.00%
CA3610033,MT BALDY HOMEOWNERS ASSN.,3,Y,0,0,N,N,N,63.31,74.00%,0.00%
CA3610036,"CHINO HILLS, CITY OF",5,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610037,REDLANDS CITY MUD-WATER DIV,29,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610038,"RIALTO, CITY OF",14,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610043,GOLDEN STATE WATER CO - BARSTOW,14,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610044,BIG BEAR LAKE DWP - BIG BEAR SYSTEM,42,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610045,LACSD - RIMFOREST,1,N,0,0,N,N,N,46.19,27.00%,No Active Groundwater Wells
CA3610046,VALLEY VIEW PARK MWC,4,N,0,0,N,N,N,34.57,7.70%,0.00%
CA3610047,GOLDEN STATE WATER CO - WRIGHTWOOD,8,Y,0,0,N,N,N,67.57,82.80%,0.00%
CA3610048,TERRACE WATER COMPANY,3,N,1,1,N,N,N,37.36,10.60%,0.00%
CA3610049,TWENTYNINE PALMS WATER DISTRICT,7,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610050,"UPLAND, CITY OF",13,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610051,VALLEY OF ENCHANTMENT MWC,21,Excluded from the Assessment,0,0,N,N,N,26.50,4.10%,0.00%
CA3610053,WESTERN HEIGHTS WATER COMPANY,7,N,0,0,N,N,N,20.60,1.90%,0.00%
CA3610055,YUCAIPA VALLEY WATER DISTRICT,30,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610057,RIVERSIDE HIGHLAND WATER COMPANY,8,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610060,BDVWA - GOAT MOUNTAIN ID,2,Y,0,0,N,N,N,37.40,10.60%,0.00%
CA3610062,RUNNING SPRINGS WATER DISTRICT,29,Excluded from the Assessment,0,0,N,N,N,30.02,5.70%,0.00%
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,3,Y,0,0,N,N,N,65.35,78.30%,0.00%
CA3610073,HI DESERT WD,14,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610082,SAN ANTONIO CANYON MSC,2,Y,0,0,N,N,N,64.06,75.70%,0.00%
CA3610085,SAN ANTONIO WATER COMPANY,11,Excluded from the Assessment,0,0,N,N,N,58.37,61.50%,0.00%
CA3610093,ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,3,N,0,0,N,N,N,28.01,4.50%,0.00%
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,3,N,0,0,N,N,N,37.48,10.80%,0.00%
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,7,N,0,0,N,N,N,42.17,19.00%,0.00%
CA3610108,GOLDEN STATE WATER CO - LUCERNE,2,Y,0,0,N,N,N,41.32,17.50%,0.00%
CA3610109,SHEEP CREEK WATER COMPANY,8,N,1,1,N,N,N,25.86,3.90%,0.00%
CA3610110,ARROWBEAR PARK CWD,5,Y,0,0,N,N,N,52.83,45.30%,0.00%
CA3610112,HELENDALE COMMUNITY SERVICE DISTRICT,7,Y,0,0,N,N,N,40.70,16.60%,0.00%
CA3610117,DEVORE WC,15,Excluded from the Assessment,0,0,N,N,N,46.13,26.90%,0.00%
CA3610118,APPLE VALLEY RANCHOS WATER CO - YERMO,3,Y,0,0,N,N,N,43.44,21.70%,0.00%
CA3610120,PHELAN PINON HILLS CSD,15,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610121,SBDNO COUNTY SERVICE AREA 64,5,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610125,SBDNO COUNTY SERVICE AREA 70J,5,Y,0,1,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610701,USMC NEBO (BARSTOW),1,N,0,0,N,N,N,49.95,36.80%,0.00%
CA3610703,USMC - 29 PALMS,11,Excluded from the Assessment,0,0,N,N,N,56.55,56.00%,0.00%
CA3610705,US ARMY FORT IRWIN,8,Y,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3610800,CDF - OAK GLEN CONSERVATION CAMP,2,Y,0,0,N,N,N,51.45,41.10%,0.00%
CA3610801,CDF - PILOT ROCK CONSERVATION CAMP,3,Y,0,0,N,N,N,56.20,54.80%,0.00%
CA3610850,CALIFORNIA INSTITUTION FOR MEN,5,Y,0,0,N,N,N,56.33,55.10%,0.00%
CA3610851,CALIFORNIA INSTITUTION FOR WOMEN,1,N,0,0,N,N,N,50.67,38.90%,0.00%
CA3610854,SEARLES VALLEY MINERALS OPERATIONS INC,6,N,0,0,N,N,N,28.70,4.80%,85.71%
CA3700041,BARRETT LAKE MH AND RV LLC,2,Y,0,0,N,N,N,54.07,49.00%,0.00%
CA3700071,HEAVENLY OAKS,2,Y,0,0,N,N,N,57.90,60.00%,0.00%
CA3700073,H & J WATER COMPANY,1,Y,0,0,N,N,N,64.09,75.90%,0.00%
CA3700074,CUYAMACA WATER DISTRICT,4,Y,0,0,N,N,N,69.08,86.20%,0.00%
CA3700277,SUNRISE ESTATES MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,50.39,38.10%,0.00%
CA3700291,"OCOTILLO OASIS, LLC",3,Y,0,0,N,N,N,43.72,22.00%,0.00%
CA3700422,LAGUNA MOUNTIAN MUTUAL WATER CO.,1,Y,0,0,N,N,N,57.02,57.60%,0.00%
CA3700859,RANCHO DEL CAMPO WATER SYSTEM,4,N,0,0,N,N,N,51.38,40.80%,0.00%
CA3700866,DEL DIOS MUTUAL WATER COMPANY,3,Y,0,0,N,N,N,48.44,32.30%,0.00%
CA3700897,GUATAY MUTUAL BENEFIT CORPORATION,4,Y,0,0,N,N,N,72.27,91.30%,0.00%
CA3700900,LAKE HENSHAW RESORT INC.,2,Y,0,0,N,N,N,61.48,69.70%,0.00%
CA3700905,PINE HILLS MUTUAL WATER COMPANY,4,Y,0,0,N,N,N,52.32,43.60%,0.00%
CA3700909,JULIAN COMMUNITY SERVICES DISTRICT,5,Y,0,0,N,N,N,52.99,45.90%,0.00%
CA3700918,RANCHO SANTA TERESA MW CO.,2,Y,0,0,N,N,N,51.39,40.90%,0.00%
CA3700919,LAKE WOHLFORD RESORT,1,Y,0,0,N,N,N,60.29,66.80%,No Active Groundwater Wells
CA3700922,LIVE OAK SPRINGS WATER SYSTEM,1,Y,0,0,N,N,N,64.00,75.50%,0.00%
CA3700923,LAKE MORENA OAK SHORES MWC,5,Y,0,0,N,N,N,68.24,84.80%,0.00%
CA3700924,LAKE MORENA VIEWS MWC,4,Y,0,0,N,N,N,51.16,40.50%,0.00%
CA3700933,PALOMAR MOUNTAIN MUTUAL WATER CO.,3,Y,0,0,N,N,N,51.99,42.50%,0.00%
CA3700934,PAUMA VALLEY WATER COMPANY,8,N,0,0,N,N,N,21.97,2.60%,0.00%
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,5,N,0,0,N,N,N,23.71,3.20%,0.00%
CA3700937,LAZY H MUTUAL WATER COMPANY,3,N,0,0,N,N,N,23.09,3.00%,0.00%
CA3700938,YUIMA MUNICIPAL WATER DISTRICT IDA,15,Excluded from the Assessment,0,0,N,N,N,23.67,3.20%,0.00%
CA3700958,LOS TULES MUTUAL WATER COMPANY,2,Y,0,0,N,N,N,46.25,27.00%,0.00%
CA3700962,OAKVALE PARK,3,Y,0,0,N,N,N,61.42,69.40%,0.00%
CA3700968,SAN PASQUAL ACADEMY,2,Y,0,0,N,N,N,55.56,53.20%,0.00%
CA3701184,BUTTERFIELD RANCH,1,Y,0,0,N,N,N,68.34,85.00%,0.00%
CA3701341,QUIET OAKS MOBILE HOME PARK,1,Y,0,0,N,N,N,100.30,100.00%,0.00%
CA3701408,YUIMA MUNICIPAL WATER DISTRICT,4,N,0,0,N,N,N,21.88,2.50%,0.00%
CA3701747,NORTH PEAK MUTUAL WATER COMPANY,3,Y,0,0,N,N,N,50.48,38.40%,0.00%
CA3701780,RICHARDSON BEARDSLEY PARK INC.,2,Y,0,0,N,N,N,73.24,93.20%,0.00%
CA3701793,TWIN LAKES RESORT,3,Y,0,0,N,N,N,44.32,23.50%,0.00%
CA3701837,WYNOLA WATER DISTRICT,5,Y,0,0,N,N,N,51.01,39.80%,0.00%
CA3701934,PINE VALLEY BIBLE CONFERENCE CENTER,1,Y,0,0,N,N,N,72.80,92.30%,0.00%
CA3701961,PINE VALLEY TRAILER PARK,2,Y,0,0,N,N,N,67.23,82.00%,0.00%
CA3701988,ALPINE OAKS ESTATES LLC,1,Y,0,0,N,N,N,60.35,67.10%,0.00%
CA3701995,WILLOWSIDE TERRACE WATER ASSOCIATION,2,Y,0,0,N,N,N,49.85,36.60%,0.00%
CA3702236,PALOMAR OBSERVATORY,2,Y,0,0,N,N,N,72.34,91.50%,0.00%
CA3702354,WARNER SPRINGS ESTATES,4,Y,0,0,N,N,N,59.35,64.00%,0.00%
CA3702754,RANCHO CORRIDO RV RESORT,2,Y,0,0,N,N,N,54.40,50.00%,0.00%
CA3710001,CAL-AM WATER CORONADO,8,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710004,"DEL MAR, CITY OF",4,N,0,0,N,N,N,15.78,0.90%,No Active Groundwater Wells
CA3710005,CARLSBAD MWD,6,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710008,FALLBROOK PUD,9,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3710009,DESCANSO COMMUNITY SERVICES DISTRICT,2,Y,0,0,N,N,N,61.76,70.30%,0.00%
CA3710011,JACUMBA COMMUNITY SD,3,Y,0,0,N,N,N,49.81,36.40%,0.00%
CA3710012,RANCHO PAUMA MUTUAL WC,8,N,0,0,N,N,N,38.65,12.40%,0.00%
CA3710013,LAKESIDE WD,7,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3710015,"POWAY, CITY OF",4,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710016,RAINBOW MUNICIPAL WD,14,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710018,RINCON DEL DIABLO MWD (ID-1),4,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710019,RAMONA MUNICIPAL WD,3,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710021,SAN DIEGUITO WD,12,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710023,SANTA FE I.D.,7,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710026,VALLEY CENTER MWD,8,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710029,OLIVENHAIN MWD,16,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710036,BORREGO WD,9,Y,0,0,N,N,N,52.20,43.20%,100.00%
CA3710037,PADRE DAM MWD,6,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710039,PINE VALLEY MUTUAL WC,8,Y,0,0,N,N,N,54.62,50.40%,0.00%
CA3710041,MAJESTIC PINES COMMUNITY SD,3,Y,0,0,N,N,N,54.11,49.00%,0.00%
CA3710044,RINCON DEL DIABLO MWD (ID-A),1,N,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,No Active Groundwater Wells
CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,3,N,0,0,N,N,N,49.92,36.70%,0.00%
CA3710700,CAMP PENDLETON (NORTH),7,N,0,0,N,N,N,37.52,10.80%,0.00%
CA3710702,CAMP PENDLETON (SOUTH),13,Excluded from the Assessment,0,0,N,N,N,DWR Not Assessed,DWR Not Assessed,0.00%
CA3710707,USN SAN CLEMENTE ISLAND,2,N,0,0,N,N,N,21.92,2.50%,No Active Groundwater Wells
CA3710750,NAS NORTH ISLAND & NAB CORONADO,3,N,0,0,N,N,N,39.56,14.10%,No Active Groundwater Wells
CA3710800,PUERTA LA CRUZ CC #14,2,Y,0,0,N,N,N,55.86,53.90%,0.00%
CA3710802,LA CIMA FIRE CENTER,1,Y,0,0,N,N,N,78.61,97.00%,0.00%
CA3810003,HHW&P MOCCASIN COMPOUND-SFPUC,1,N,0,0,N,N,N,51.90,42.10%,No Active Groundwater Wells
CA3810700,PRESIDIO OF SAN FRANCISCO,2,N,0,0,N,N,N,14.87,0.70%,No Active Groundwater Wells
CA3810702,TREASURE ISLAND,1,N,0,0,N,N,N,46.90,28.60%,No Active Groundwater Wells
